[18-Dec-2020 16:43:27 Asia/Tokyo] PHP Fatal error:  Cannot declare class App\Admin\Controllers\UserController because the name is already in use in /Users/kiddman/Local Sites/sandaifx/app/app/Admin/Controllers/UserController.php on line 7
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  16. Illuminate\Foundation\Http\Middleware\ConvertEmptyStringsToNull->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  17. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-132}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  18. App\Http\Kernel->Illuminate\Foundation\Http\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:162-166}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:128
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  19. Illuminate\Routing\Router->dispatch() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:165
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  20. Illuminate\Routing\Router->dispatchToRoute() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:617
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  21. Illuminate\Routing\Router->runRoute() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:628
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  22. Illuminate\Routing\Router->runRouteWithinStack() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:662
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  23. Illuminate\Routing\Router->gatherRouteMiddleware() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:678
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  24. Illuminate\Routing\Route->gatherMiddleware() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:702
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  25. Illuminate\Routing\Route->controllerMiddleware() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Route.php:931
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  26. Illuminate\Routing\Route->getController() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Route.php:970
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  27. Illuminate\Foundation\Application->make() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Route.php:253
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  28. Illuminate\Foundation\Application->make() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:781
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  29. Illuminate\Foundation\Application->resolve() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:637
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  30. Illuminate\Foundation\Application->resolve() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:796
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  31. Illuminate\Foundation\Application->build() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:691
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  32. ReflectionClass->__construct() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:809
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  33. spl_autoload_call() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:809
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  34. Composer\Autoload\ClassLoader->loadClass() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:809
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  35. Composer\Autoload\includeFile() /Users/kiddman/Local Sites/sandaifx/app/vendor/composer/ClassLoader.php:322
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP Fatal error:  Cannot use Log as Log because the name is already in use in /Users/kiddman/Local Sites/sandaifx/app/app/Admin/Controllers/UserExtendController.php on line 7
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP Stack trace:
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   1. {main}() /Users/kiddman/Local Sites/sandaifx/app/public/index.php:0
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   2. App\Http\Kernel->handle() /Users/kiddman/Local Sites/sandaifx/app/public/index.php:55
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   3. App\Http\Kernel->sendRequestThroughRouter() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:109
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   4. Illuminate\Routing\Pipeline->then() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:140
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   5. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   6. App\Http\Middleware\TrustProxies->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   7. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/fideloper/proxy/src/TrustProxies.php:57
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   8. Fruitcake\Cors\HandleCors->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP   9. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/fruitcake/laravel-cors/src/HandleCors.php:37
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  10. App\Http\Middleware\CheckForMaintenanceMode->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:63
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  12. Illuminate\Foundation\Http\Middleware\ValidatePostSize->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  13. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  14. App\Http\Middleware\TrimStrings->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  15. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  16. Illuminate\Foundation\Http\Middleware\ConvertEmptyStringsToNull->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  17. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-132}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  18. App\Http\Kernel->Illuminate\Foundation\Http\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:162-166}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:128
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  19. Illuminate\Routing\Router->dispatch() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:165
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  20. Illuminate\Routing\Router->dispatchToRoute() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:617
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  21. Illuminate\Routing\Router->runRoute() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:628
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  22. Illuminate\Routing\Router->runRouteWithinStack() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:662
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  23. Illuminate\Routing\Router->gatherRouteMiddleware() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:678
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  24. Illuminate\Routing\Route->gatherMiddleware() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Router.php:702
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  25. Illuminate\Routing\Route->controllerMiddleware() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Route.php:931
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  26. Illuminate\Routing\Route->getController() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Route.php:970
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  27. Illuminate\Foundation\Application->make() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Routing/Route.php:253
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  28. Illuminate\Foundation\Application->make() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:781
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  29. Illuminate\Foundation\Application->resolve() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:637
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  30. Illuminate\Foundation\Application->resolve() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:796
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  31. Illuminate\Foundation\Application->build() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:691
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  32. ReflectionClass->__construct() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:809
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  33. spl_autoload_call() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:809
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  34. Composer\Autoload\ClassLoader->loadClass() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Container/Container.php:809
[18-Dec-2020 16:46:40 Asia/Tokyo] PHP  35. Composer\Autoload\includeFile() /Users/kiddman/Local Sites/sandaifx/app/vendor/composer/ClassLoader.php:322
